¿Cuántos años cumplidos tienes? (anota el número);¿Qué son para ti los Derechos Humanos?;¿Cuáles derechos conoces?;¿Qué significa ser una persona?
15.0;La ley de la igualdad ;Derecho al estudio ;Estar vivo.
12.0;Los derechos humanos son los que protejan a los seres humanos ;Derecho a la salud, derecho el estudio , derecho al amor , derecho a la felicidad , derecho a tener un Techo , derecho a tener una familia , etc..;No se cómo explicarlo 
14.0;Son las leyes del país ?;Derecho de la libertad de expresión, derecho al aborto legal (en algunos estados) derecho de educación ;No sabría explicarlo 
15.0;Son privilegios con la que las personas cuentan para hacer valer lo importante que es cada una de ellas y vivan plenamente en armonía y felicidad. en armoni;El derecho a la libertad, derecho a la salud, derecho a la familia, para los niños el derecho al juego, el derecho a la educación, a una vida digna de respeto, entre algunas otras.;Ser una persona significa ser parte de la humanidad y esto también significa que tiene los mismos privilegios que muchos. 
13.0;;;
12.0;Lo que yo puedo recibir ;A la educación, a la comida , casa y salud ;No ser un animal 
14.0;;;
12.0;.;.;.
13.0;Son normas que protegen y reconocen a todes, con el solo hecho de ser un ser humano.;A la salud, la educación, la alimentación, a la vida;Un ser humano 
;;;
16.0;Son aspectos necesarios en la vida de una persona, estos contribuyen a la integridad de la persona que los posee;Derecho a estudiar. Derecho a expresarme. Derecho a existir;Existir, vivir
15.0;Lo que nos protege, ya sea nuestra dignidad y libertad;El de la libertad, educación, igualdad, los derechos trans, lgbtq+, a la salud, libertad de expresión,  etc ;Ser alguien que tiene consciencia y dignidad  
14.0;Son las acciones de las que nos pertenece el control y que tenemos acceso a ello por ley, que no se respeten en muchas ocasiones, es una lastima;A la educación, a tener una nacionalidad, a tener ropa, comida y vivienda, a la libre expresión, tener cosas propias, privacidad, libertad de pensamiento y de credo, a solicitar un servicio...;Ser un ser humano digno de respeto, cariño, etc
13.0;Los derechos humanos para mi son los que cuidan a las personas individualmente y le dan valor como persona y buscan que se respeten a todas las personas;Derecho a la opinion,decidir sobre tu cuerpo,etc;Pues ser un individuo que pueda sentir y tenga cierto sistema (como el nervioso,etc)
;;;
14.0;;;
15.0;Lo que se nos debe permitir sin excepción a todos;Los comunes;Ser alguien
14.0;;;
17.0;Artículos que nos protegen y regulan a los ciudadanos ;A la educación, una vida digna, un hogar, una familia, alimento;Un individuo que tiene la capacidad de razonar 
17.0;Los derechos de las personas ;Derecho a la educación, igualdad,género,;Tener valores derechos 
12.0;Son algo de igualdad ;Todos;Ser, actuar,sentir,pensar,tomar decisiones,etc.
16.0;;;
12.0;;;
9.0;Un derecho para las personas;Vida digna ,tener respeto ;Una persona que tiene derechos
16.0;;;
14.0;"Son derechos que todos, todas y todes deberíamos tener sin cuestión, son lo que te validan como ""humano"" ante autoridades y deben ser respetados y satisfacidos ";Derecho a la vivienda, educación, familia, vida, vida digna, recreación;Ser un ser vivo con derechos.
14.0;Derechos que todos tenemos que ejercer y que todos deberíamos de tener  ;A la educación, a la vivienda , a la de opinar?solo esas ;Ser una persona significa tener emociones ,pensar por si mismo , tener pensamientos opiniones , tener valores 
14.0;Derechos que nos resguardan por nuestra justicia ;Los derechos humanos ;
15.0;;;
15.0;Son las cosas que nos deben de dar o a las que somos acreedores por el simple hecho de ser humanos;Derecho a la educación, libertad, expresión, a la vida, a una vida digna;Ser un ser que biológicamente sea catalogado como humano
16.0;Pudre nuestra opinión sin ser juzgados o callados ;Derecho a la comida derecho a libertad de expresión derecho a la educación ;Tener criterio
16.0;Derechos de las personas ;Derecho que estudiar ;Ser un ser humano 
17.0;Derechos fundamentales que cada persona debe tener para que se pueda desarrollar en una sociedad.;Alimentación, Vida digna, Libertad de expresión, libertad, educación, etc;Alguien que convive en una sociedad
14.0;;;
15.0;Los derechos que tenemos como ciudadanos, por el simple echo de nacer ;El derecho a la escuela, el derecho a la vida, a una vida digna ;Un ser humano con la capacidad de pensar y razonar 
16.0;Libertades y posibilidades que todos deberíamos tener;Derecho a la salud,al trabajo, a la educación,a una vivienda digna, libertad de expresión yde desarrollo etc;Alguien que tiene una dignidad y merece respeto
15.0;Los derechos que tienen todos los seres humanos para fomentar su libertad y ser felices en la sociedad;Derecho a la vida, derecho a la educación, derecho a la salud;Alguien que además de pensar, tiene sentimientos y una vida misma
15.0;Son las capacidades que podemos ejercer para nuestro bien personal y el bien social;Derecho a la salud, a la educación, a la vivienda, a una vida digna, a la privacidad, la libertad de expresión;Un ser vivo que puede razonar, sentir y actuar para su bien.
16.0;Una garantía de vida;Algunos de la Constitución;
;;;
15.0;Derechos que todo mundo tiene y son universales;El derecho a la vivienda, a la salud, a la educación, a una vida plena, un trabajo digno, etc.;Ser un individuo
;;;
14.0;Son Derechos, que tenemos la libertad de hacerlos ;Educación, Jugar, Alimentación, Expresión etc. ;Un ser viviente que tiene derechos tanto como obligaciones 
16.0;Están relacionados con la sociedad ;La escuela;Cumplir sus sueños y ser lo mejor 
12.0;Conoser los derechos de las personas;La igualdad;Una persona que sabe ma igualdad
17.0;;;
15.0;Son leyes los cuales nos brindan derechos básicos para vivir en un desarrollo, en respeto y en salud;El tener derecho a la educación y a los servicios de salud;Un ser humano que es racional y emocional, el cual necesita reglas y leyes a seguir para no solo tener el mismo un desarrollo sano, sino también su entorno lo obtiene
16.0;Derecho que tenemos todas las personas por el simple hecho de ser humanos;Derecho a la educación, derecho a la familia, derecho derecho a una vivienda digna, derecho a la democracia.;Es ser un ser humano
15.0;Los derechos humanos para mi son los derechos que tenemos para hacer las cosas que queremos hacer.;dereecho a la igualdad, a la educacion, a la libertad, al respeto, etc.;Ser una persona es ser un ser viviente que es capaz de poder hablar por si mismo, tener libertad y tener uso de razon. 
;;;
15.0;Los derechos humanos son ciertas cosas que por ley se tienen que respetar hacia los seres vivos (ya sea por ejemplo) comida, techo o educación;Derecho a la vida, la educación, ect;Ser una parte de la sociedad (técnicamente al nacer ya lo eres, también está el concepto que sería más dedicado a lo ético que sería el ser una persona, ser algún contribuyente social en ámbitos de todos
15.0;;;
;;;
15.0;Algo que es importante para todos, ya que tienes libertades;A la educación, a la discriminación, a la religión, al voto;Ser alguien vivo
15.0;Son derechos o normas que protegen a todos los seres humanos. ;Derecho a la libertad personal, derecho a la libre expresión, derecho a la identidad entre otros.;Reconocernos como seres libres, conscientes, con voluntad para trabajar para su bienestar. 
16.0;Son los q te resguardan y se hacen valer .;Derecho a tener una familia, derecho a la salud, derecho a la educación, derecho a tener un nombre;Ser un ser humano con valores y derechos q se acabó respetar
14.0;Derechos que son irrevocables ;La mayoría ;Ser un humano 
16.0;son conceptos que tienen las mejores intenciones pero que nunca vamos a poder tener todos;los básicos;vivir en la tierra bajo sus reglas y acuerdos
17.0;El tratar bien las personas;El de comer y tomar awa;?
;;;
12.0;A todo lo que me de seguridad ;Raza,deberes,viviendas,igualdad y casarse ;El tener vida humana 
12.0;algo muy importante ;estudiar, dignidad? y no me acuerdo xd ;ser alguien con derechos, dar y recibir respeto 
;;;
;;;
;;;
15.0;;;
16.0;Derechos fundamentales a los que todxs tenemos acceso sin importar que.;Ej. Derecho a la educación, libertad, dignidad, juicio, expresión, religión ;Ser un ser humano 
17.0;Para mi son las garantías que tenemos con el simple hecho de nacer y entonces los derechos nos protegen, nos dan oportunidades y responsabilidades.;El derecho a la educación, a una vivienda, a un nombre, a vivir en condiciones de bienestar, el derecho a la recreación,  a una vida libre de violencia y a la protección. Además de la protección de los derechos sexuales de las niñas, niños y adolescentes.;Ser una persona significa que eres parte de la sociedad, que cuentas con conciencia, sentimientos y con dignidad. Por lo cual se le debe tratar dignamente y respetar sus derechos.
15.0;;;
11.0;Son cosas a las que nosotros tenemos permiso como humanos;A dar mi opinión, tener educación, jugar;Ser un ser vivo, humano
14.0;Son garantías básicas que nos protegen;Alimentación, educación,  participación, protección, libertad, identidad, familia, seguridad;Un ser humano con derechos y dignidad
12.0;Reglas que te protegen y tus necesidades ;El derecho a la educación, a la salud, a una familia, a un nombre, a un hogar, de expresión,  de tiempo para jugar, de una nacionalidad, de protección ;Vivir,  reparar, sentir, tener derechos y habitaciones 
12.0;Derechos que todos los seres humanos sin distincion;Derecho a trabajar estudiar derecho a la vida ;Tener vida
;;;
13.0;Algo que no te pueden impedir que hagas;La educación;Ser alguien que mata a la tierra
12.0;;;
13.0;Derechos nuestros;Derecho ala educación derecho libertad de expresión etc.;Ser un individuo con derechos
12.0;;;
11.0;Cómo podré sir miderechos umanos son Ir ala escuela ;Todos;Que somos libres de aser nuestros derechos
10.0;Las cosas que deberian ser justas;Ir a la escuela comer tener techo cama poder jugar y si estoy enfermo que me curen;Ser responsable y vivir de forma justa
12.0;Son normas para que las personas vivan respetuosa y armónicamente ;Derecho a una vivienda, a la educación, a la salud y cuidados médicos ;Vivir en un cuerpo de humano
9.0;Son derechos que nos garantizan la dignidad humana;A la salud, a la escuela, vivienda, no discriminación, ;Tener vida
9.0;Garantías de los ciudadanos;Derecho a la vida, a un nombre, a salud, educación, acceso a internet;Un ser con derechos y obligaciones
15.0;Son derechos que como ciudadana tengo;Respeto opinion decicion liberrad;Tener derechos defectos y cualidades
;;;
;;;
;;;
;;;
;;;
;;;
12.0;;;
8.0;Cosas que nos ayudan a vivir dignamente;A la educación, la salud, la vivienda, alimentación saludable, a jugar , a descanso, a vivir en una familia , atener un nombre una nacionalidad ;Tener derechos, ser valiosa y respetada
;;;
13.0;Que tenemos una participacion en algun derecho;El derecho de estudiar;Tener vida, responsabilidades, tener dercho
13.0;Que tenemos una participacion en algun derecho;El derecho de estudiar;
13.0;Los derechos humanos son las cosas buenas que podemos Aser;Derecho civiles,derecho a Aser cosas buenas ;Sentir todo lo que te asen vivir la vida a tu manera 
13.0;Los derechos humanos son derechos inherentes a todos los seres humanos, sin distinción alguna de nacionalidad, lugar de residencia, sexo, origen nacional o étnico, color, religión, lengua, o cualquier otra condición;El derecho a la educación ;Es un ser vivo que tiene derecho de si mismo
;;;
11.0;Son leyes ke nos respeten y resguarden nuestra integridad;Derecho a estidiar;Significa que cada uno tiene diferentes cualidades
13.0;Poder hacer lo que pueda;Igualdad de género;Saber todos los derechos
13.0;Lo que no defiende y alo que tenemos derecho hay;Libre de expresión  ;Parte de una sociedad 
13.0;Lo que tiene derecho a hacer las personas;El derecho a estudiar derecho a tener una familia ;Un ser humano
13.0;Poder hacer lo que quieres sin que te lo impidan;Decir lo que piensas, ir a donde quieras, estudiar, salud;Ser un ser humano
12.0;Son los que tiene cada persona;Libertad,vivienda, educación,respeto, justicia, Paz;Nos caracterizamos por tener voluntad
14.0;;;
14.0;Oportunidades de expresar lo que sentimos sobre nuestro alrededor.;Derecho a libertad de expresión, derecho a tener un hogar;Contar como habitante y ser permaneciente a una comunidad.
;;;
12.0;Son derechos inherentes a todos los seres humanos sin distinción de alguna nacionalidadn.;Ala vida,a la identidad, igualdad, discriminación,vivir en familía vivir en condicion.;Designa  a un individuo de la especie humana, hombre o mujer que es considerado desde una noción jurídica.
9.0;;;
12.0;Son derechos inherentes a todos los seres humanos sin distinción de alguna nacionalidadn.;Ala vida,a la identidad, igualdad, discriminación,vivir en familía vivir en condicion.;Designa  a un individuo de la especie humana, hombre o mujer que es considerado desde una noción jurídica.
13.0;Es el poder expresar y poder hacer lo que quieren los humanos, bajo la ley ;El derecho al estudio, el derecho a la salud, el derecho de expresión, el derecho al trabajo.;El expresar tu opinión y cumplir tus obligaciones, poder hacer lo que quieres, bajo la ley.
13.0;Es el poder expresar y poder hacer lo que quieren los humanos, bajo la ley ;El derecho al estudio, el derecho a la salud, el derecho de expresión, el derecho al trabajo.;Ser una persona es un ser humano que tiene tanto derechos como responsabilidades.
;;;
13.0;Es el derecho que tienen todos los seres humanos sin importar sus rasgos o cualidades.;Derecho a la vida, libertad de expresión, educación, salud, vivienda, etc...;tener conciencia y tener valores 
17.0;;;
;;;
14.0;Los derechos humanos son como normas que nos permiten hacer cosas o también nos ayudan  o son necesidades ;Derecho a la salud derecho a la educación derecho a tener un hogar ;Ser persona significa que tienes derecho a decir no cuando algo te esté incomodando, significa que las demás personas te respeten a ti y a tu religión a tu orientación sexual o identidad de género y a tus gustos como te vistas etc o respetar, y que puedas llorar estar triste estar feliz estar emocionado estar enojado o que respeten que tienes algún problema como ansiedad social o cual quier otra u otra cosa 
13.0;Garantías qur todos deberian tener y ser respetados;Derecho a la educaión, a la salud, a la vivienda, libeetad, a vivir, a ser respetados ;Tener derechos
;;;
14.0;Los derechos humanos son como normas que nos permiten hacer cosas o también nos ayudan  ;Derecho a la salud derecho a la educación derecho a tener un hogar ;Ser persona significa tener el uso libre de la razón, la voluntad, y la defenición de nuestro camino existencial  
12.0;Escrituras que nos permiten hacer algunas cosas ;Pues muchos ;Alguien que tenga sentimientos o algo asi 
13.0; que todos tenemos los mismos derechos humanos sin discriminación alguna los derechos son interrelacionados,interdependientes e indivisibles  ;Raza,deberes,viviendas,igualdad y casarse ;Ser una persona es ser racional y conciente de si mismo,es responsable de sus acciones,es un ser social dotado de sensibilidad, inteligencia y  voluntad 
13.0; que todos tenemos los mismos derechos humanos sin discriminación alguna los derechos son interrelacionados,interdependientes e indivisibles  ;Raza,deberes,viviendas,igualdad y casarse ;Ser una persona es ser racional y conciente de si mismo,es responsable de sus acciones,es un ser social dotado de sensibilidad, inteligencia y  voluntad 
8.0;No se;Tener casa, tener comida, poder vivir;Tener vida 
16.0;;;
12.0;Para mí son el derecho a la libertad, a tener un hogar eso es para mi;La libertad religiosa, respetar y proteger tu identidad, derechos a no ser discriminado.;Ser libre, significa poder ser tu misma/o
12.0;Igualdad entre todos y tener los recursos básicos ;Derecho de pago y derecho de ir a la escuela ;Ser alguien que tiene emociones 
13.0; que todos tenemos los mismos derechos humanos sin discriminación alguna los derechos son interrelacionados,interdependientes e indivisibles  ;Raza,deberes,viviendas,igualdad y casarse ;
;;;
;;;
9.0;Los derechos son los que tienen las persona que pueden hacer sin preguntar. ;-Hablar - Irán a la escuela- jugar- ser libre-pensar lo que quieras- decir que sí o no, a vivir felices- opina lo que quieras-a tener familia- á que no seas maltratad@-a tener un hogar-á llorar- a tener las emociones que quieras- a tener amigos- a estudiar- a comer- a divertirte-a tener nombre- a hacer lo que tú quieras en tu vida-a decidir sobre ti….;Significa tener derechos humanos….
;;;
;;;
13.0; que todos tenemos los mismos derechos humanos sin discriminación alguna los derechos son interrelacionados,interdependientes e indivisibles  ;Raza,deberes,viviendas,igualdad y casarse ;Ser una persona es ser racional y conciente de si mismo,es responsable de sus acciones,es un ser social dotado de sensibilidad, inteligencia y  voluntad 
11.0;;;
9.0;Lo que no es pero ante la sociedad y la ley ;Derecho de igualdad ;Un ser vivo con personalidad 
;;;
;;;
13.0;Los que nos protegen como seres humanos;Ala educacion, vivienda, la salud,a libre expresion, ala limentacion;Un individuo y un ser humano
12.0;Para mi me hace respetar cada articulo para poder vivir en paz;Articulo 1,4,3,9,12;Tener sertimientos, valore, educacion
12.0;La libertad a los niños ;Asistir a clases ;Un ser vivo
14.0;;;
;;;
14.0;Para mi es algo que todas las personas pueden hacer ,sin importar que seas hombre o mujer ;Derecho al voto,derecho a la libertad,derecho a participar;Ps un ser humano ,que tiene muchas deciciones o derechos
13.0;Es una ley que defiende las acciones que están permitidas para una persona;Ala educación ala salud ala libertad de expresión al respeto ;Expresarte frente ala sociedad
;;;
13.0;Pues es como tener el derecho a estudiar ;La libertad de pensamiento de conciencia y de religión, derecho a la libertad seguridad e integridad personal, derecho a la libertad de expresión etc.;Ser persona  es reconocernos como eres caracterizados por el uso libre de la razón la voluntad y el sentimiento
;;;
12.0;;;
;;;
11.0;Que cada persona tiene derecho a ser libre expresarte;Libertad igualdad de género, desiciones; Es ser tu mismo   no compararte no con otra persona
13.0;Normas q se nos otorgan;Educación, libertad, a té e un nombre, una casa, una familia a la salud ;Un ser humano con vida y q piensa 
13.0;Los derechos que tenemos porejemplo: estudiar;Derechos de tener livertad;Significa nurstra existensi
15.0;Algo que todos tenemos sin distinción alguna , dependiendo del color piel, etnia etc;Derecho a una vivienda, derecho a una educación ;Tener derechos y obligaciones 
13.0;;;
13.0;Son los derechos que tienen cada humano en la tierra ;Educación, vivir, comer, entre otros ;Ser parte de la raza humana 
13.0;Que tenemos una participacion en algun derecho;El derecho de estudiar;
;;;
8.0;Son aquellos que nos permiten expresar y saber a lo que tengo derecho;Derecho a expresarme ;Somos libres ....vivir 
14.0;;;
12.0;Es ser tratado con dignidad y respeto en todos los sentidos por ser una persona como  los demas;El derecho a la libertad;Un ser con alma
13.0;Tener libertad para hablar,hacer y decir las cosas;Libertad de expresión ,derecho a estudiar, derecho al trabajo;Vivir libremente con derechos 
13.0;Son los derechos que nos permite ser como seamos y tener respeto con igualdad;Derecho a ser respetado,a ser igualitario, a tener casa,a tener amor e.t.c;Tener derechos,ser una persona con estudios,trabajos e.t.c
12.0;Son las cosas que podemos hacer como personas;Derecho a la igualdad de género, derecho a a tener una familia,a la salud y a la educación.;Una mujer o un hombre con derechos y obligaciones.
12.0;El respeto a mi persona;Los derechos de los niños, derecho a la educación, a estudiar, a recibir atención médica, a tener una familia ;Tratar con respeto y amabilidad a los demas
10.0;;;
;;;
11.0;Para mí es un derecho que tenemos que no no los pueden quitar ;De los niños ;Significa ser voluntariosos
12.0;Alegría ;Confianza esperanza y libertad ;Que algunas veces la personaes Tratada muy feo o muy bonito es difícil ser persona
14.0;No sé ;Ir a la escuela , tener un hogar, tener libertad de expresión, etc;No sé 
13.0;Las cosas que podemos Aser todos sin que que nadie nos diga nada ;Derecho civiles,derecho a Aser cosas buenas ;Sentir todo lo que te asen vivir la vida a tu manera 
12.0;Son los derechos que tienen todos los seres humanos sin importar su condición.;El derecho a la educación, El derecho al servicio médico, Libertad de expresión.;Ser un ser humano.
;;;
11.0;Para mí es un derecho que tenemos que no no los pueden quitar ;De los niños ;Significa ser voluntariosos
11.0;Tener derecho a espresar mis emosiones ;El derecho a tener una familia, a salud y educacion;Tener vida 
14.0;;;
;;;
12.0;Son derechos que tengo como persona.;Derecho educación, expresión,ala vivienda ;Significa vivir
12.0;;;
14.0;Cosas que nos permitan a la comunidad;Levantar la vos,;Ser quién eres 
13.0;;;
12.0;;;
13.0;;;
12.0;;;
14.0;Lo que se nos da por el simple hecho de ser personas ;El de la vida, a la educación, a tiempo de recreación ;Ser alguien con sentimientos y vida que merece respeto 
16.0;;;
;;;
11.0;;;
9.0;;;
8.0;Defender lo k asemos;De recho s la salud;Tener responsabilidad
14.0;Los derechos humanos para mí son normas,que Se usan por igual para todos sin distinción alguna;Libertad de expresión,De elegir y ser elegido, derecho a no tener discriminación,el derecho a la vida,a la educación;Es reconocernos como seres caracterizados  Por uso libe
10.0;Las reglas de salud y bienestar de los seres humanos ;Derecho a un hogar , Derecho a una familia , Derecho a servicio médico , Derecho a la educación y Derecho a trato digno ;Tener derecho ser respetado 
10.0;Algo importante para todos ;A la educación, vivienda alimentación salud identidad respeto cuidado ;Alguien que vive aquí en la vida estar y que respeta a todos y a todas a todes
10.0;Son derechos para los humanos que la gente tiene para protegerse;Estudio, alimentación, cuidado, salud, respeto, vivir, ;Alguien cuidando de los demas y a los demás en el planeta
;;;
;;;
16.0;;;
12.0;Yo tengo derecho a estudiar y tengo derecho a tener  a mi papá a mu mamá ;Respetar y a que me redpeten; Ps ser una persona
9.0;Quienes nos pueden defender ;A una familia, salud, escuela y a ser feliz ;Un ser humano con derechos 
16.0;;;
;;;
;;;
14.0;;;
11.0;Los derechos humanos son privilegios que se le dan a todas las personas sin ninguna justificasion;Derecho a la voda a la educasion a tener un hogar a la libertad opinion,etc.;Ser un ser que piensa y siente habla inventa etc
16.0;;;
9.0;Lo que asen que tome mis propias decisiones ;Derecho a estudiar;Alguien con derechos 
;;;
13.0;Derechos ;A ir al escuela;Tener ojos,boca
;;;
;;;
14.0;Son derechos que toda persona debe tener o hacer no importa quien eres hombre o mujer discapacitad@ o lo que tengas todos deben de tenerlo o cumplirlo ;Ir a la escuela,tener una vida digna,tener vestido y sustento, un ambiente sano y libre de violencia ;Un ser con poder raciocinio que posee conocimiento y libre albedrío 
10.0;Acciones a las que las personas tienen acceso;SALUD RECREACIÓN Y EDUCACIÓN;Un ser que piensa y que siente
10.0;Son leyes que sirve para que los cuiden y nos protegan ;Te nemos den recho que los quieden y los protejan nuestros padres que los de comer  y hir ala escuela que tengamos un techo tengo de recho cuando me enfermo me lleven a un doctor  ;Es ser,un ser humano te nener derecho,ser un ser vivo, te ner obligaciones,  
15.0;Son leyes que todo ser humano tiene ;A la vida, escuela, al servicio médico, educado y a tener una familia ;Ser un ver humano pensante 
10.0;SON ACCIONES A LAS QUE TODOS TENEMOS ACCESO COMO LA  SALUD, EDUCACIÓN O RECREACIÓN;SALUD RECREACIÓN Y EDUCACIÓN;ES UN SER VIVIENTE QUE SIENTE Y PIENSA
11.0;;;
17.0;Protegen a los ciudadanos de injusticias y les otorgan beneficios ;Los de los niños y niñas y la salud;Es un humano, piensa, siente y lo expresa 
16.0;son Normas que nos permiten hacer como personas que se nos deben hacer validos;El derecho de estudiar, el derecho a votar;tener derechos, tener responsabilidades aquella que hace acciones 
9.0;;;
11.0;Es una ley donde me puedo defender;Derecho de los niños derecho de la educación derecho a la salud;Ser una persona es una responsabilidad que tengo cómo humano
9.0;Son cosas que necesitamos para vivir en paz.;El derecho a comer, a tener vivienda, a tener una familia, a recibir educacion, el derecho a jugar.;Es ser respetado y que te traten igual que a todos los demás.
;;;
10.0;Es lo que hace que nos sintamos pritegidos;Ala educación,salud,a una identidad,vivir en una familia;Ser un ser independiente,y pensar de manera libre,tener voluntad propia
10.0;la libertad de los niños;La educación, no discriminación y derecho a un hogar;Una persona tener pensamiento propio
13.0;Una ley que protege a todo la gente.;Educación , libertad de expresión, igualdad;Ser alguien que respeta a los demás 
11.0;Son normas qué  se deben da aplicar a todos por igual;Educación, ala seguridad, ser libre;Es alguien que tiene  una edentidad
;;;
11.0;Para mí los derechos son como algo que nadie nos maltrate nadie nos aga cosas ya que todos somos iguales;Libertad ,estudio,jugar,comer,etc;Ser halguien de carne y gueso
11.0;son derechos que nos permiten ser nosotros;derecho a participar, a la educación, la liberta de expresión y a la salud;es aquella que puede tomar sus propias decisiones
11.0;Es una ley que me protege como niña;Derecho a la salud, derecho al familia, derecho a una identidad, derecho a la salud,etc;Persona que cuenta con su propia identidad
;;;
11.0;Reglas para cada ser humano;El derecho a la escuela , al amor , a una familia etc ....;Ser persona significa un ser humano con derechos y oportunidades 
11.0;Reglas para cada ser humano;El derecho a la escuela , al amor , a una familia etc ....;Ser persona significa un ser humano con derechos y oportunidades 
11.0;Son derechos que tienen los humanos para vivir bien;Derecho a la educación, derecho a la familia, derecho a una vivienda, derecho a tener un nombre;Ser un ser que siente, que piensa, que toma decisiones y que tiene identidad propia.
;;;
15.0;Nuestras obligaciones;A opinar etc..;
8.0;Las leyes que nos defienden a los seres humanos;Igualdad entre mujeres y hombres, no discriminación;
11.0;Los derechos humanos son leyes que rigen a todas las personas para convivir con armonía en cierto lugar.;Derecho a la vivienda, a la libertad, a la educación.;Una persona para mi significa  que es un ser humano, el cual a base de principios y valores inculcados por sus mayores se va formando y después cuando ya es mayor ocupa un lugar dentro de la sociedad.
11.0;;;
9.0;Una persona tiene derecho a ir a la escuela ,todos tenemos derecho a la salud ,todos estamos y somos iguales para tener derechos a lo mismo;Salud,educación,igualdad,vivienda digna ;Ser alguien con igualdad,con derechos 
9.0;libertad;a comer a tener casa a tener familia a estar viva a tener amigos;ser una niña con derechos y responsabilidades
10.0;El que cuiden de mi;El ser atendido ;Respeto y amor 
10.0;Son las normas que por ser seres humanos nos corresponden;A la educación, a la casa, comida, salud;Un ser vivo, un humano
10.0;;;
10.0;A lo que tenemos derecho todos los NNA y que nos deben apoyar en todo momento.;Tener una nacionalidad y nombre, a la salud, a la educación, alimentación, vivienda,recreación,una familia,;Ser alguien en la vida que tiene derechos pero también obligaciones
;;;
9.0;Los que nos ase libre de decidir;Tener  un nombre  a la educasion a no ser maltratado;Tener valores
12.0;Son leyes que nos protejen ;A estudiar, a la salud, a nombre, a casa,a ;Alguien que sient, piensa y actua
15.0;;;
15.0;Son un conjunto de derechos que si o si tendriamos que tener siempre sin que nadie nos los quite;Vida.   Descanso.   Comer.   Libertad.   Seguridad;Ser alguien
9.0;Leyes;Comer, escuela, familia, respeto, salud y jugar.;Un ser vivo con inteligencia superior a todos los seres vivos 
;;;
11.0;derechos que tenemos al nacer;la vida la educacion;ser un ser humano un hombre o mujer
9.0;Pwrro;Si;
11.0;Son derechos que te ayudan a vivir tranquilamente.;Derecho a la educación, derecho a la salud derecho a la familia derecho a la expresion.;Tener derecho a vivir.
15.0;Pues... Los derechos humanos nos da una forma de trato igualitario, sin importar la religión, color de piel, estado, discapacidad, etc.;El derecho a jugar, tener un hogar, a la salud, tener una vivienda, tener una familia, etc.;Pues que eres una ser humano, que realizará su propia historia, con la misma igualdad a los demás 
;;;
17.0;Derechos inherentes de las personas sin distinción alguna de nacionalidad, residencia, sexo, género, lengua o cualquier condición, son interdependientes e indivisibles. ;a la vida, a la libertad seguridad e integridad, libertad expresión, elegir y ser elegido, a la identidad, vivir en familia, no ser discriminado y otros. ;seres con uso libre de razón, voluntad, y sentimiento, trabajar para un desarrollo humano integral. 
8.0;Poder hacer cosas;Ninguno;Poder ser libre
17.0;Son los que nos dan la libertad dentro de el país para tener cierta libertad;Derecho a la libertad de expresión, techo, comida, respeto, vestimenta,trabajo ;Ser un ser pensante y existente 
10.0;;;
12.0;Son derechos que tenemos todas las personas;Derecho a la salud, educación, alimentación, a un hogar, a la felicidad;Ser un humano de una sociedad demasiado grande
8.0;Es lo que me protege y me ayuda a ser feliz;A jugar, a comer, ir a la escuela, tener una casa, a qué me quieran;Un ser humano
11.0;Libertad ;No lose;Alguien libre
13.0;Son las normas que tenemos que seguir como parte de la sociedad para mantener un orden;Ninguno realmente;Aparte de ser humano, ser parte de la sociedad de cualquier forma
17.0;Reglas ;Salud digna, vivienda digna, educación y seguridad ;Un individuo pensante 
13.0;Son las normas que tenemos que seguir como parte de la sociedad para mantener un orden;Ninguno realmente;Aparte de ser humano, ser parte de la sociedad de cualquier forma
13.0;Los que nos dicen cuales son los derechos de todos ;Derecho a la educación, a la salud, a la información. ;Que tenemos derechos, responsabilidades y obligaciones 
12.0;Un respeto a algo;Los derechos de familia;Ser otra cosa persona
15.0;son derechos para todos los seres humanos, sin distinción alguna de nacionalidad, lugar de residencia, sexo, origen nacional o étnico, color, religión, lengua, o cualquier otra condición.;Igualdad, libertad, justicia, paz;Ser un ser humano 
16.0;Pues lo básico para vivir ;Libertad de expresión ;Ser humano 
8.0;Es algo que todos tenemos;Derecho a ir a la escuela, derecho a tener nombre y;Ser felices
12.0;Algo que todos tienen;Derecho a jugar, a la familia, a una casa;Vivir libre
10.0;Derechos para estar bien y convivir;Ir a la escuela, tener atención médica y cuidados;Un ser humano con derechos
10.0;Derechos  que todos  debemos de seguir ;Derecho a la escuela  Derecho a un nombre  Derecho a un  hogar  Derecho a la  salud ;Vivir y ser algo  en la vida
8.0;Lo que me defiende ;Educación y casa;Ser un ser humano 
;;;
12.0;es todo lo que la ley nos permite hacer y es lo que nosotros podemos hacer con libertad (nadie nos pude prohibir esos derechos);son muchos entre los que conozco son : el derecho a … jugar, a estudiar, atener un techo donde vivir, tener alimento, vestimenta, etc.;ser un humano y por lo tanto a tener derechos 
;;;
17.0;Los derechos humanos son aquellos que nos protejen de muchas cosas entre ellas distintivos de raza, color de piel etc;Derecho a la vida, derecho a la libertad, derecho al estudio, derecho a la vivienda;Tener derecho a la vida, pero también tener responsabilidades aue cumplir
12.0;Todo lo que puedes hacer;Ir a la escuela, libertad, jugar deportes, jugar videojuegos;Estar vivo
;;;
8.0;Un derecho;Educacion familia casa;Ser humano
